NomBloc;NomChamp;POSX;POSY;Largeur;nbLignes;NbIterationMin;NbIterationMax;alignement;format;style;calcul
STRUCTURE_EXPLOITATION4_LIGNE;ACTIVITE_NON_PREVUE_ENVISAGEE_UNITE;238;2;21;1;2;100;G;n;n;
STRUCTURE_EXPLOITATION4_PIED;STRUCTURE_EXPLOITATION4_PIED_NOCHAMP;0;0;0;0;1;1;G;c;n;
AUTRES_ENGAGEMENTS;SUIVI_TECHNICO_OUI;98;6;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;SUIVI_TECHNICO_NON;98;11;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;SUIVI_TECHNICO_NONCONCERNE;98;16;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;FEADER_OUI;162;6;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;FEADER_NON;162;11;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;FEADER_NONCONCERNE;162;16;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;COMPTA_OUI;227;6;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;COMPTA_NON;227;11;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;COMPTA_NONCONCERNE;227;16;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;ACQ_PROGRESSIVE_CONCERNE_OUI;38;31;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;ACQ_PROGRESSIVE_CONCERNE_NON;50;31;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;ACQ_PROGRESSIVE_DIPLOME_OUI;101;31;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;ACQ_PROGRESSIVE_DIPLOME_NON;113;31;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;ACQ_PROGRESSIVE_FORMATION_OUI;166;31;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;ACQ_PROGRESSIVE_FORMATION_NON;178;31;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;ACQ_PROGRESSIVE_PAS_FORMATION_OUI;237;31;4;1;1;1;G;c;n;
AUTRES_ENGAGEMENTS;ACQ_PROGRESSIVE_PAS_FORMATION_NON;250;31;4;1;1;1;G;c;n;
PROGRAMME_INVESTISSEMENT_ENTETE;PROGRAMME_INVESTISSEMENT1_ENTETE_NO_CHAMP;0;0;0;0;1;1;G;c;n;
PROGRAMME_INVESTISSEMENT_LIGNE;NATURE_INVESTISSEMENT;6.05;3;40;3;5;100;G;c;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MONTANT_TOTAL;49.63;8.32;16.84;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODE_MTS_JA;98.63;0.53;20.79;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODE_AUTRE_PRET;98.63;4;21.84;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODE_SUBVENTION;96;8;22;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODE_SUBVENTION_NATURE;98.63;11;21.84;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODE_AUTOFINANCEMENT;98.63;16;21.84;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;DATE_REALISATION_PDT_EXERCICE;128.37;7.05;21.84;1;5;100;G;d;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODIF_MONTANT_TOTAL;154.63;8.05;16.84;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODIF_MTS_JA;203.89;0;20;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODIF_AUTRE_PRET;203.63;4;20;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODIF_SUBVENTION;203.63;9.58;20;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODIF_SUBVENTION_NATURE;203.63;12.84;20.79;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;MODIF_AUTOFINANCEMENT;203.63;16;21.84;1;5;100;G;n;n;
PROGRAMME_INVESTISSEMENT_LIGNE;NON_REALISE_ANNULATION;254.84;1.53;5.79;1;5;100;G;c;n;
PROGRAMME_INVESTISSEMENT_LIGNE;NON_REALISE_REPORT;254.58;10.53;5.79;1;5;100;G;c;n;
PROGRAMME_INVESTISSEMENT_LIGNE;NON_REALISE_DATE;249;14;13;1;5;100;G;n;n;
MODIFICATIONS_NON_PREVUES_REALISEES_ENTETE;MODIFICATIONS_NON_PREVUES_REALISEES_ENTETENO_CHAMP;0;0;0;0;1;1;G;c;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MOTIF_ANTICIPATION_1;36.32;2;3.95;1;2;100;G;c;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MOTIF_REPORT_1;36.84;10;3.95;1;2;100;G;c;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MOTIF_NOUVEL_1;36.58;18;3.95;1;2;100;G;c;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MODIF_NP_NATURE_INVESTISSEMENT_1;44.63;3;40;3;2;100;G;c;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MODIF_NP_MONTANT_TOTAL_1;88.63;9;16.84;1;2;100;G;n;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MODIF_NP_MTS_1;137.63;0;21.84;1;2;100;G;n;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MODIF_NP_AUTRE_PRET_1;137.63;5;21.84;1;2;100;G;n;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MODIF_NP_SUBVENTION_1;137.63;10;21.84;1;2;100;G;n;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MODIF_NP_SUBVENTION_NATURE_1;137.63;13;21.84;1;2;100;G;n;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MODIF_NP_AUTOFINANCEMENT_1;137.89;18;21.84;1;2;100;G;n;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MODIF_NP_DATE_REALISATION_1;170.63;8.11;22.89;1;2;100;G;d;n;
MODIFICATIONS_NON_PREVUES_REALISEES_LIGNE;MODIF_NP_COMMENTAIRE_1;199.63;2.05;65;3;2;100;G;c;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_ENTETE;MODIFICATIONS_NON_PREVUES_ENGAGEES_ENTETE_NO_CHAMP;0;0;0;0;1;1;G;c;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_LIGNE;MODIF_NP_NATURE_INVESTISSEMENT_3;4;3;78;3;1;100;G;c;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_LIGNE;MODIF_NP_MONTANT_TOTAL_3;86;8;17;1;1;100;G;n;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_LIGNE;MODIF_NP_MTS_3;135;0;22;1;1;100;G;n;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_LIGNE;MODIF_NP_AUTRE_PRET_3;135;5;22;1;1;100;G;n;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_LIGNE;MODIF_NP_SUBVENTION_3;135;10;22;1;1;100;G;n;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_LIGNE;MODIF_NP_SUBVENTION_NATURE_3;135;13;22;1;1;100;G;n;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_LIGNE;MODIF_NP_AUTOFINANCEMENT_3;135;17;22;1;1;100;G;n;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_LIGNE;MODIF_NP_DATE_REALISATION_3;168;7;23;1;1;100;G;d;n;
MODIFICATIONS_NON_PREVUES_ENVISAGEES_LIGNE;MODIF_NP_COMMENTAIRE_3;197;1;65;3;1;100;G;c;n;
PIED_PAGE;PIED_PAGE_NO_CHAMP;0;0;0;0;1;1;G;c;n;
;;;;;;;;;;;
